company,report_type,year,score,source_page,candidate_url,final_url,filename,relative_path,sha256,bytes,context
TotalEnergies,sustainability_statement,2026,279,https://totalenergies.com/sustainability,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,3d77357c10cb2bf0e72db497c0ca81bb4e44f3df0fc219ae12783f6751e6f7ac,120777555,Sustainability and Climate 2026 Progress Report | Sustainability and Climate 2026 Progress Report (new window)
TotalEnergies,universal_registration_document,2024,254,https://totalenergies.com/sustainability/our-approach/esg-documentation,https://totalenergies.com/system/files/documents/totalenergies_universal-registration-document-2024_2025_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_universal-registration-document-2024_2025_en.pdf,totalenergies_universal-registration-document-2024_2025_en.pdf,raw_pdfs/totalenergies/totalenergies_universal-registration-document-2024_2025_en.pdf,c0294fa903042125e9347c0592847defd97f5da88182a640162598828d33b4f0,17171641,2024 Universal Registration Document (PDF version)
BNP Paribas,integrated_report,2024,162,https://invest.bnpparibas/en/search/reports/documents/financial-reports,https://invest.bnpparibas/en/document/2024-integrated-report,https://invest.bnpparibas/en/document/2024-integrated-report,bnp-paribas_2024_integrated_report_168dd4389d.pdf,raw_pdfs/bnp-paribas/bnp-paribas_2024_integrated_report_168dd4389d.pdf,168dd4389dbbb172b32a088566e239c1883a0039cddcbb6174d02f510c89e5e1,7089124,"View | Download file | Select Financial reports CSR 2025-05-27 2024 Integrated report pdf, EN, 7 mo View"
BNP Paribas,universal_registration_document,2026,148,https://invest.bnpparibas/en/search/reports/documents/financial-reports,https://invest.bnpparibas/en/document/universal-registration-document-annual-financial-report-2025-pdf,https://invest.bnpparibas/en/document/universal-registration-document-annual-financial-report-2025-pdf,bnp-paribas_2026_universal_registration_document_70060ea2be.pdf,raw_pdfs/bnp-paribas/bnp-paribas_2026_universal_registration_document_70060ea2be.pdf,70060ea2be1548e6dd228de4aa04b771bb1d7555898b1276e65be7784e328bf5,12591835,"View | Download file | Select Regulated information Financial reports 2026-03-19 Universal registration document & annual financial report 2025 (PDF) pdf, EN, 12 mo View"
Airbus,annual_report,2024,152,https://www.airbus.com/en/investors/annual-reports,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf,Airbus_Annual_Report_2024.pdf,raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,0ddcb736e926ea49951ad2c445aaa3b2718a733838423e4982a0ce245fde81cd,15133745,Download | Airbus Annual Report 2024 Download
Airbus,universal_registration_document,2023,145,https://www.airbus.com/en/investors/annual-reports,https://www.airbus.com/sites/g/files/jlcbta136/files/2024-03/Airbus-Universal-Registration-Document-2023.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2024-03/Airbus-Universal-Registration-Document-2023.pdf,airbus_Airbus-Universal-Registration-Document-2023.pdf,raw_pdfs/airbus/airbus_Airbus-Universal-Registration-Document-2023.pdf,484324055280fc0bd396e3c1d6ea646574369b61e1b64749c4065827b19a0e60,5983810,Download | Airbus Universal Registration Document 2023 Download
Danone,integrated_report,2024,287,https://www.danone.com/investors/publications-and-events/financial-and-extra-financial-reports.html,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-sustainability/reports-and-data/cross-topic/danoneiar2024.pdf,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-sustainability/reports-and-data/cross-topic/danoneiar2024.pdf,danone_danoneiar2024.pdf,raw_pdfs/danone/danone_danoneiar2024.pdf,1a29f6e56e4f721bacdf1e06dc9f627953807419019d89897d77cdb7a9e8ae28,14365317,2024 Annual Integrated Report | 2024 Annual Integrated Report Extra financial report 2024 Annual Integrated Report
Danone,universal_registration_document,2020,210,https://www.danone.com/investors/publications-and-events/financial-and-extra-financial-reports.html,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-all-publications/2020/registrationdocuments/Danone_URD2020_EN.pdf,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-all-publications/2020/registrationdocuments/Danone_URD2020_EN.pdf,Danone_URD2020_EN.pdf,raw_pdfs/danone/Danone_URD2020_EN.pdf,dbf6c9ed4f7125d506d0b395cf80f1e7dcd96fefa2650ff630719c656fed9d67,8630553,2020 Universal Registration Document | 2020 Universal Registration Document 2020 Universal Registration Document (accessible version)
ENGIE,sustainability_statement,2025,340,https://www.engie.com/en/investors/ESG,https://www.engie.com/sites/default/files/assets/documents/2026-03/ENGIE_DEU_2025_UK.pdf,https://www.engie.com/sites/default/files/assets/documents/2026-03/ENGIE_DEU_2025_UK.pdf,ENGIE_DEU_2025_UK.pdf,raw_pdfs/engie/ENGIE_DEU_2025_UK.pdf,b7ca234845f021bbc7a9b090612dccf4dc65150cd65235913b46bf6728150686,14550905,"Sustainability Statement and Vigilance Plan | 2025 Universal Registration Document , including the Sustainability Statement and Vigilance Plan"
ENGIE,integrated_report,2024,259,https://www.engie.com/en/investors/ESG,https://www.engie.com/sites/default/files/assets/documents/2024-05/Engie%20RI_Version%20EN_2105.pdf,https://www.engie.com/sites/default/files/assets/documents/2024-05/Engie%20RI_Version%20EN_2105.pdf,Engie_RI_Version_EN_2105.pdf,raw_pdfs/engie/Engie_RI_Version_EN_2105.pdf,ad513d338d6f228317784faa46a0bd78c8012dc72fe003e94df97bd8484f96fd,8325773,Integrated Report | Integrated Report ESG databook Environment ESG databook Social
L'Oreal,universal_registration_document,2024,0,,https://www.loreal-finance.com/system/files/2025-03/2024_Universal_Registration_Document_LOREAL.pdf,https://www.loreal-finance.com/system/files/2025-03/2024_Universal_Registration_Document_LOREAL.pdf,loreal_2024_universal_registration_document.pdf,raw_pdfs/loreal/loreal_2024_universal_registration_document.pdf,daccf63c4e17e6e8b46f6dadd83b58527bc7f49900d61870d8a417f3779118d0,12472919,
Volkswagen,sustainability_statement,2024,0,,https://annualreport2024.volkswagen-group.com/_assets/downloads/esrs-sustainability-report-vw-ar24.pdf,https://annualreport2024.volkswagen-group.com/_assets/downloads/esrs-sustainability-report-vw-ar24.pdf,volkswagen_esrs-sustainability-report-2024.pdf,raw_pdfs/volkswagen/volkswagen_esrs-sustainability-report-2024.pdf,91620cfe3103e82d730cd69a9b063a97c9f3d040ff64b64f3ac4b3bed95acd55,8504549,
Siemens,sustainability_statement,2024,0,,https://assets.new.siemens.com/siemens/assets/api/uuid:dea0c623-1ae9-4ef0-a69a-31d8eb7b39fb/sustainability-statement.pdf,https://assets.new.siemens.com/siemens/assets/api/uuid:dea0c623-1ae9-4ef0-a69a-31d8eb7b39fb/sustainability-statement.pdf,siemens_sustainability-statement-2024.pdf,raw_pdfs/siemens/siemens_sustainability-statement-2024.pdf,02b55070ea3ef2dda495861fffb7ba80f7c6b13fbd7b7a8ee833ffc7e4714f15,4466029,
